0,81.96,10.43,,,,,,,,,,0,-13.23,7.907
0.208,82.44,9.875,,,,,,,,,,0.033,-12.57,8.083
0.417,79.03,10.29,,,,,,,,,,0.067,-11.83,8.278
0.625,73.99,11.26,,,,,,,,,,0.1,-11.08,8.454
0.833,71.1,11.63,,,,,,,,,,0.133,-10.33,8.655
1.042,69.73,11.56,,,,,,,,,,0.167,-9.602,8.897
1.25,67.5,11.76,,,,,,,,,,0.2,-8.832,8.897
1.458,64.94,12.05,,,,,,,,,,0.233,-8.062,9.007
1.667,62.45,12.31,,,,,,,,,,0.267,-7.468,9.073
1.875,60.57,12.44,,,,,,,,,,0.3,-6.664,9.145
2.083,58.11,12.71,,,,,,,,,,0.333,-5.878,9.196
2.292,55.72,13,,,,,,,,,,0.367,-5.158,9.359
2.5,53.92,13.14,,,,,,,,,,0.4,-4.409,9.271
2.708,51.81,13.33,,,,,,,,,,0.433,-3.771,9.315
2.917,51.75,12.96,,,,,,,,,,0.467,-3.155,9.337
3.125,49.67,13.15,,,,,,,,,,0.5,-2.452,9.335
3.333,47.63,13.36,,,,,,,,,,0.533,-1.747,9.403
3.542,45.36,13.66,,,,,,,,,,0.567,-1.065,9.337
3.75,43.09,13.96,,,,,,,,,,0.6,-0.427,9.161
3.958,41.11,14.16,,,,,,,,,,0.633,0.259,9.101
4.167,39.38,14.3,,,,,,,,,,0.667,0.805,9.029
4.375,35.3,14.65,,,,,,,,,,0.7,1.223,9.007
4.583,33.17,14.94,,,,,,,,,,0.733,2.081,8.809
4.792,31.22,15.22,,,,,,,,,,0.767,2.763,8.545
5,29.1,15.49,,,,,,,,,,0.8,3.423,8.435
5.208,26.97,15.81,,,,,,,,,,0.833,4.061,8.303
5.417,24.94,16.11,,,,,,,,,,0.867,4.567,8.039
5.625,22.73,16.4,,,,,,,,,,0.9,5.136,7.847
5.833,20.72,16.69,,,,,,,,,,0.933,5.699,7.646
6.042,18.72,16.98,,,,,,,,,,0.967,6.255,7.426
6.25,16.83,17.3,,,,,,,,,,1,6.745,7.159
6.458,15.04,17.51,,,,,,,,,,1.033,7.971,6.201
6.667,13.11,17.81,,,,,,,,,,1.067,10.06,5.458
6.875,11.16,18.09,,,,,,,,,,1.1,7.295,7.401
7.083,9.231,18.4,,,,,,,,,,1.133,7.141,7.744
7.292,7.527,18.67,,,,,,,,,,1.167,6.987,8.149
7.5,5.655,18.95,,,,,,,,,,1.2,6.899,8.479
7.708,4.019,19.15,,,,,,,,,,1.233,6.743,8.753
7.917,1.907,19.56,,,,,,,,,,1.267,6.594,9.008
8.125,0.172,19.79,,,,,,,,,,1.3,6.459,9.293
8.333,-1.704,20.09,,,,,,,,,,1.333,6.306,9.514
8.542,-3.529,20.4,,,,,,,,,,1.367,6.217,9.689
8.75,-5.255,20.7,,,,,,,,,,1.4,6.041,9.777
8.958,-6.495,20.85,,,,,,,,,,1.433,5.799,9.953
9.167,-7.961,21.07,,,,,,,,,,1.467,5.623,10.11
9.375,-9.263,21.24,,,,,,,,,,1.5,5.473,10.25
9.583,-10.47,21.36,,,,,,,,,,1.533,5.403,10.39
9.792,-12.7,21.62,,,,,,,,,,1.567,5.253,10.49
10,-12.49,21.65,,,,,,,,,,1.6,5.161,10.64
10.208,-18.22,22.21,,,,,,,,,,1.633,5.016,10.69
10.417,-19.89,22.54,,,,,,,,,,1.667,4.871,10.74
10.625,-21.45,22.83,,,,,,,,,,1.7,4.723,10.77
10.833,-22.93,24.53,,,,,,,,,,1.733,4.479,10.61
11.042,-24.49,24.86,,,,,,,,,,1.767,4.336,10.61
11.25,-25.65,24.62,,,,,,,,,,1.8,4.193,10.59
11.458,-27.24,24.94,,,,,,,,,,1.833,4.042,10.55
11.667,-28.84,25.27,,,,,,,,,,1.867,3.929,10.53
11.875,-30.41,25.58,,,,,,,,,,1.9,3.777,10.46
12.083,-31.98,25.9,,,,,,,,,,1.933,3.665,10.42
12.292,-33.55,26.24,,,,,,,,,,1.967,3.599,10.33
12.5,-35.11,26.56,,,,,,,,,,2,3.401,10.13
12.708,-36.61,26.87,,,,,,,,,,2.033,3.181,9.997
12.917,-38.09,27.19,,,,,,,,,,2.067,2.983,9.887
13.125,-39.56,27.54,,,,,,,,,,2.1,3.005,9.821
13.333,-41.05,27.84,,,,,,,,,,2.133,2.861,9.648
13.542,-42.52,28.17,,,,,,,,,,2.167,2.675,9.469
13.75,-43.97,28.49,,,,,,,,,,2.2,2.653,9.293
13.958,-45.42,28.81,,,,,,,,,,2.233,2.455,9.029
14.167,-46.89,29.12,,,,,,,,,,2.267,2.33,8.815
14.375,-48.11,29.4,,,,,,,,,,2.3,2.2,8.595
14.583,-49.58,29.7,,,,,,,,,,2.333,2.103,8.391
14.792,-51.03,30.02,,,,,,,,,,2.367,2.059,8.105
15,-52.48,30.34,,,,,,,,,,2.4,1.817,7.885
15.208,-53.72,30.61,,,,,,,,,,2.433,1.795,7.731
15.417,-55.13,30.91,,,,,,,,,,2.467,1.861,8.127
15.625,-56.53,31.25,,,,,,,,,,2.5,1.839,8.545
15.833,-57.95,31.57,,,,,,,,,,2.533,1.884,8.884
16.042,-59.15,31.83,,,,,,,,,,2.567,1.905,9.161
16.25,-60.54,32.13,,,,,,,,,,2.6,1.817,9.403
16.458,-61.73,32.41,,,,,,,,,,2.633,1.859,9.705
16.667,-63.1,32.72,,,,,,,,,,2.667,1.839,9.975
16.875,-64.51,33.02,,,,,,,,,,2.7,1.888,10.25
17.083,-65.71,33.29,,,,,,,,,,2.733,1.932,10.5
17.292,-67.1,33.59,,,,,,,,,,2.767,2.015,10.75
17.5,-68.3,33.84,,,,,,,,,,2.8,2.074,10.96
17.708,-69.66,34.17,,,,,,,,,,2.833,2.168,11.12
17.917,-70.86,34.42,,,,,,,,,,2.867,2.147,11.45
18.125,-71.96,34.66,,,,,,,,,,2.9,2.184,11.63
18.333,-73.3,34.98,,,,,,,,,,2.933,2.222,11.79
18.542,-74.5,35.22,,,,,,,,,,2.967,2.261,11.92
,,,,,,,,,,,,3,2.299,12.05
,,,,,,,,,,,,3.033,2.33,12.16
,,,,,,,,,,,,3.067,2.366,12.26
,,,,,,,,,,,,3.1,2.406,12.34
,,,,,,,,,,,,3.133,2.442,12.4
,,,,,,,,,,,,3.167,2.474,12.45
,,,,,,,,,,,,3.2,2.506,12.49
,,,,,,,,,,,,3.233,2.538,12.51
,,,,,,,,,,,,3.267,2.571,12.51
,,,,,,,,,,,,3.3,2.6,12.5
,,,,,,,,,,,,3.333,2.629,12.47
,,,,,,,,,,,,3.367,2.655,12.42
,,,,,,,,,,,,3.4,2.681,12.36
,,,,,,,,,,,,3.433,2.707,12.28
,,,,,,,,,,,,3.467,2.73,12.2
,,,,,,,,,,,,3.5,2.759,12.09
,,,,,,,,,,,,3.533,2.785,11.97
,,,,,,,,,,,,3.567,2.812,11.84
,,,,,,,,,,,,3.6,2.832,11.69
,,,,,,,,,,,,3.633,2.85,11.53
,,,,,,,,,,,,3.667,2.875,11.36
,,,,,,,,,,,,3.7,2.895,11.16
,,,,,,,,,,,,3.733,2.917,10.88
,,,,,,,,,,,,3.767,2.954,10.66
,,,,,,,,,,,,3.8,3.049,10.44
,,,,,,,,,,,,3.833,3.137,10.26
,,,,,,,,,,,,3.867,3.166,10.02
,,,,,,,,,,,,3.9,3.181,9.773
,,,,,,,,,,,,3.933,3.071,9.447
,,,,,,,,,,,,3.967,3.115,9.271
,,,,,,,,,,,,4,2.521,9.007
,,,,,,,,,,,,4.033,1.773,8.787
,,,,,,,,,,,,4.067,0.939,8.529
,,,,,,,,,,,,4.1,0.126,8.248
,,,,,,,,,,,,4.133,-0.781,8.012
,,,,,,,,,,,,4.167,-1.621,7.752
,,,,,,,,,,,,4.2,-2.399,7.48
,,,,,,,,,,,,4.233,-3.104,7.134
,,,,,,,,,,,,4.267,-3.925,6.8
,,,,,,,,,,,,4.3,-4.722,6.405
,,,,,,,,,,,,4.333,-5.637,6.072
,,,,,,,,,,,,4.367,-6.45,5.625
,,,,,,,,,,,,4.4,-6.959,5.454
,,,,,,,,,,,,4.433,-6.86,5.614
,,,,,,,,,,,,4.467,-6.777,5.87
,,,,,,,,,,,,4.5,-6.625,6.084
,,,,,,,,,,,,4.533,-6.551,6.343
,,,,,,,,,,,,4.567,-6.462,6.561
,,,,,,,,,,,,4.6,-6.347,6.766
,,,,,,,,,,,,4.633,-6.218,7.011
,,,,,,,,,,,,4.667,-6.18,7.171
,,,,,,,,,,,,4.7,-6.02,7.32
,,,,,,,,,,,,4.733,-6.007,7.493
,,,,,,,,,,,,4.767,-5.723,7.703
,,,,,,,,,,,,4.8,-5.624,7.727
,,,,,,,,,,,,4.833,-5.575,7.789
,,,,,,,,,,,,4.867,-5.402,7.826
,,,,,,,,,,,,4.9,-5.303,7.9
,,,,,,,,,,,,4.933,-5.18,7.95
,,,,,,,,,,,,4.967,-5.031,7.974
,,,,,,,,,,,,5,-4.97,7.962
,,,,,,,,,,,,5.033,-4.908,7.95
,,,,,,,,,,,,5.067,-4.784,7.987
,,,,,,,,,,,,5.1,-4.648,7.913
,,,,,,,,,,,,5.133,-4.438,7.839
,,,,,,,,,,,,5.167,-4.451,7.789
,,,,,,,,,,,,5.2,-4.384,7.704
,,,,,,,,,,,,5.233,-4.105,7.616
,,,,,,,,,,,,5.267,-4.035,7.546
,,,,,,,,,,,,5.3,-3.895,7.284
,,,,,,,,,,,,5.333,-3.773,7.162
,,,,,,,,,,,,5.367,-3.616,7.04
,,,,,,,,,,,,5.4,-3.476,6.865
,,,,,,,,,,,,5.433,-3.389,6.603
,,,,,,,,,,,,5.467,-3.424,6.516
,,,,,,,,,,,,5.5,-3.196,6.219
